,Authors,Author(s) ID,Title,Affiliations,Authors with affiliations,Author Keywords
0,"monerie p.-a., pohl b., gaetani m.",36995939400;8934032500;15319055900;,The fast response of Sahel precipitation to climate change allows effective mitigation action,"National Centre for Atmospheric Science (NCAS), Department of Meteorology, University of Reading, Reading, United Kingdom; Centre de Recherches de Climatologie, UMR 6282 Biogéosciences, CNRS/Université de Bourgogne Franche-Comté, Dijon, France; Scuola Universitaria Superiore IUSS, Pavia, Italy","Monerie, P.-A., National Centre for Atmospheric Science (NCAS), Department of Meteorology, University of Reading, Reading, United Kingdom; Pohl, B., Centre de Recherches de Climatologie, UMR 6282 Biogéosciences, CNRS/Université de Bourgogne Franche-Comté, Dijon, France; Gaetani, M., Scuola Universitaria Superiore IUSS, Pavia, Italy",
1,"koh l.p., zeng y., sarira t.v., siman k.",7004786474;55344338300;57217291359;57222126865;,Carbon prospecting in tropical forests for climate change mitigation,"Centre for Nature-based Climate Solutions, and Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, Singapore, 117543, Singapore; School of Biological Sciences, The University of Adelaide, Adelaide, SA  5005, Australia","Koh, L.P., Centre for Nature-based Climate Solutions, and Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, Singapore, 117543, Singapore; Zeng, Y., Centre for Nature-based Climate Solutions, and Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, Singapore, 117543, Singapore; Sarira, T.V., Centre for Nature-based Climate Solutions, and Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, Singapore, 117543, Singapore, School of Biological Sciences, The University of Adelaide, Adelaide, SA  5005, Australia; Siman, K., Centre for Nature-based Climate Solutions, and Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, Singapore, 117543, Singapore",
2,"west t.a.p., salekin s., melia n., wakelin s.j., yao r.t., meason d.",55970453700;56664449200;56862288100;7005793487;37058097500;7801384122;,Diversification of forestry portfolios for climate change and market risk mitigation,"Scion—New Zealand Forest Research Institute, Rotorua, New Zealand; Environmental Geography Group, Institute for Environmental Studies (IVM), VU University Amsterdam, Amsterdam, Netherlands; Centre for Environment, Energy and Natural Resource Governance, University of Cambridge, Cambridge, United Kingdom; School of Geography, Environment and Earth Sciences, Victoria University of Wellington, Wellington, New Zealand","West, T.A.P., Scion—New Zealand Forest Research Institute, Rotorua, New Zealand, Environmental Geography Group, Institute for Environmental Studies (IVM), VU University Amsterdam, Amsterdam, Netherlands, Centre for Environment, Energy and Natural Resource Governance, University of Cambridge, Cambridge, United Kingdom; Salekin, S., Scion—New Zealand Forest Research Institute, Rotorua, New Zealand; Melia, N., School of Geography, Environment and Earth Sciences, Victoria University of Wellington, Wellington, New Zealand; Wakelin, S.J., Scion—New Zealand Forest Research Institute, Rotorua, New Zealand; Yao, R.T., Scion—New Zealand Forest Research Institute, Rotorua, New Zealand; Meason, D., Scion—New Zealand Forest Research Institute, Rotorua, New Zealand",3-pg; climate change adaptation; forest management; modern portfolio theory; representative concentration pathway
3,basupi i.,55602343700;,Implications of Climate Change Mitigation and Household Water Saving in Existing Water Networks: Upgrade Requirements and Hydraulic Perspectives,"Climate Change Div., Botswana Institute for Technology Research and Innovation, Maranyane House, Private Bag 0082, Plot 50654, Machel Dr., Gaborone, Botswana","Basupi, I., Climate Change Div., Botswana Institute for Technology Research and Innovation, Maranyane House, Private Bag 0082, Plot 50654, Machel Dr., Gaborone, Botswana",climate change mitigation; optimization; sanitary sewers (sss); water distribution systems (wdss); water saving schemes (wsss); water-saving
4,"azevedo i., leal v.",7006492454;6603496558;,A new model for ex-post quantification of the effects of local actions for climate change mitigation,"University of Porto, Faculty of Engineering (FEUP), Department of Mechanical Engineering, Rua Dr. Roberto Frias, Porto, 4200-465, Portugal; Institute of Science and Innovation in Mechanical Engineering and Management Engineering (INEGI), Rua Dr. Roberto Frias, 400, Porto, 4200-465, Portugal","Azevedo, I., University of Porto, Faculty of Engineering (FEUP), Department of Mechanical Engineering, Rua Dr. Roberto Frias, Porto, 4200-465, Portugal, Institute of Science and Innovation in Mechanical Engineering and Management Engineering (INEGI), Rua Dr. Roberto Frias, 400, Porto, 4200-465, Portugal; Leal, V., University of Porto, Faculty of Engineering (FEUP), Department of Mechanical Engineering, Rua Dr. Roberto Frias, Porto, 4200-465, Portugal, Institute of Science and Innovation in Mechanical Engineering and Management Engineering (INEGI), Rua Dr. Roberto Frias, 400, Porto, 4200-465, Portugal",climate change mitigation; energy planning; local actions; municipal action plans; policy evaluation
5,raparthi k.,56974428600;,"Assessing the Relationship between Urban Planning Policies, Gender, and Climate Change Mitigation: Regression Model Evaluation of Indian Cities","School of Architecture and Planning, Anna Univ., Chennai, 600025, India","Raparthi, K., School of Architecture and Planning, Anna Univ., Chennai, 600025, India",carbon dioxide emissions; climate change mitigation; gender; urban planning policies
6,"simmons a.t., cowie a.l., waters c.m.",13805671700;8258491400;8720819200;,Pyrolysis of invasive woody vegetation for energy and biochar has climate change mitigation potential,"New South Wales Department of Primary Industries, 98 Victoria St, 2430, Taree, NSW, Australia; New South Wales Department of Primary Industries, Livestock Industry Centre, Trevenna Rd, 2351, Armidale, NSW, Australia; School of Environmental and Rural Science, University of New England, 2531, Armidale, NSW, Australia; New South Wales Department of Primary Industries, 4 Hampden Street, 2830, Dubbo, NSW, Australia","Simmons, A.T., New South Wales Department of Primary Industries, 98 Victoria St, 2430, Taree, NSW, Australia; Cowie, A.L., New South Wales Department of Primary Industries, Livestock Industry Centre, Trevenna Rd, 2351, Armidale, NSW, Australia, School of Environmental and Rural Science, University of New England, 2531, Armidale, NSW, Australia; Waters, C.M., New South Wales Department of Primary Industries, 4 Hampden Street, 2830, Dubbo, NSW, Australia",biochar; emissions reductions; indirect land use change; woody plant encroachment
7,rosen r.a.,7202895179;,Why the shared socioeconomic pathway framework has not been useful for improving climate change mitigation policy analysis,"Tellus Institute (retired), 20 Marshal St., Brookline, MA  02446, United States","Rosen, R.A., Tellus Institute (retired), 20 Marshal St., Brookline, MA  02446, United States",climate change mitigation; economics of mitigation; integrated assessment models; mitigation scenarios; shared socioeconomic pathways
8,gambelli a.m.,57194621290;,An experimental description of the double positive effect of CO2 injection in methane hydrate deposits in terms of climate change mitigation,"University of Perugia, Engineering Department, Via G. Duranti 93, Perugia, 06125, Italy","Gambelli, A.M., University of Perugia, Engineering Department, Via G. Duranti 93, Perugia, 06125, Italy",climate change mitigation; co2 replacement; co2 storage; hydrate dissociation; natural gas hydrate
9,"full j., merseburg s., miehe r., sauer a.",35075875800;57222863684;56529640100;55862727700;,A new perspective for climate change mitigation— introducing carbon-negative hydrogen production from biomass with carbon capture and storage (Hybeccs),"Fraunhofer Institute for Manufacturing Engineering and Automation IPA, Stuttgart, 70569, Germany; Institute for Energy Efficiency in Production (EEP), University of Stuttgart, Stuttgart, 70569, Germany","Full, J., Fraunhofer Institute for Manufacturing Engineering and Automation IPA, Stuttgart, 70569, Germany, Institute for Energy Efficiency in Production (EEP), University of Stuttgart, Stuttgart, 70569, Germany; Merseburg, S., Fraunhofer Institute for Manufacturing Engineering and Automation IPA, Stuttgart, 70569, Germany; Miehe, R., Fraunhofer Institute for Manufacturing Engineering and Automation IPA, Stuttgart, 70569, Germany; Sauer, A., Fraunhofer Institute for Manufacturing Engineering and Automation IPA, Stuttgart, 70569, Germany, Institute for Energy Efficiency in Production (EEP), University of Stuttgart, Stuttgart, 70569, Germany",beccs; biohydrogen; carbon dioxide removal; carbon-negative hydrogen; ccs; cdr; climate positive hydrogen; daccs; hybeccs; hydrogen bioenergy with carbon capture and storage; negative emission technologies; net
