Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Monerie P.-A., Pohl B., Gaetani M.","36995939400;8934032500;15319055900;","The fast response of Sahel precipitation to climate change allows effective mitigation action",2021,"npj Climate and Atmospheric Science","4","1", 24,"","",,,"10.1038/s41612-021-00179-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103988374&doi=10.1038%2fs41612-021-00179-6&partnerID=40&md5=8f50a053d33f9e55dad36c303718cc84","National Centre for Atmospheric Science (NCAS), Department of Meteorology, University of Reading, Reading, United Kingdom; Centre de Recherches de Climatologie, UMR 6282 Biogéosciences, CNRS/Université de Bourgogne Franche-Comté, Dijon, France; Scuola Universitaria Superiore IUSS, Pavia, Italy","Monerie, P.-A., National Centre for Atmospheric Science (NCAS), Department of Meteorology, University of Reading, Reading, United Kingdom; Pohl, B., Centre de Recherches de Climatologie, UMR 6282 Biogéosciences, CNRS/Université de Bourgogne Franche-Comté, Dijon, France; Gaetani, M., Scuola Universitaria Superiore IUSS, Pavia, Italy","Climate change will drive major perturbations of the West African summer monsoon. A zonal contrast in precipitation will develop at the end of the century, with an increase in precipitation over the central Sahel and a decrease in precipitation over the western Sahel. Such a zonal contrast results from the antagonist effects of the fast (due to enhanced radiative warming over land, and over the North Hemisphere, relative to the South Hemisphere) and slow (associated with long-term changes in oceanic circulation) responses of precipitation to increasing greenhouse gases. While such changes have already been assessed, less attention has been given to their temporality, an issue of major importance to promote efficient mitigation and adaptation measures. Here, we analyse the future evolution of precipitation changes decomposed into a fast and a slow response, showing that the fast response dominates the slow one. From this evidence, we highlight that mitigation strategies may be successful at reducing the effect of climate change on Sahel precipitation within a few decades, by muting the fast response. This decomposition also allows for a better understanding of the uncertainty of climate model predictions in Africa. © 2021, The Author(s).",,"climate change; climate modeling; greenhouse gas; monsoon; precipitation (climatology); temporal distribution; Sahel [Sub-Saharan Africa]","Monerie, P.-A.; National Centre for Atmospheric Science (NCAS), United Kingdom; email: pmonerie@gmail.com",,"Nature Research",23973722,,,,"English","npj Clim. Atmos. Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85103988374
"Bolderdijk J.W., Jans L.","36674575600;41261498500;","Minority influence in climate change mitigation",2021,"Current Opinion in Psychology","42",,,"25","30",,1,"10.1016/j.copsyc.2021.02.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102373895&doi=10.1016%2fj.copsyc.2021.02.005&partnerID=40&md5=c136f10f53f232d71fac5185dfc68a63","Department of Marketing, Faculty of Business and Economics, University of Groningen, Nettelbosje 2, Groningen, 9747 AE, Netherlands; Department of Psychology, Faculty of Behavioural and Social Sciences, University of Groningen, Grote Kruisstraat 2/19712 TS, Netherlands","Bolderdijk, J.W., Department of Marketing, Faculty of Business and Economics, University of Groningen, Nettelbosje 2, Groningen, 9747 AE, Netherlands; Jans, L., Department of Psychology, Faculty of Behavioural and Social Sciences, University of Groningen, Grote Kruisstraat 2/19712 TS, Netherlands","While the majority of people care about environmental quality, they keep engaging in carbon-intensive practices that exacerbate climate change. Can we expect humans to collectively change by themselves, from the bottom up? Social change is often initiated by minorities – individuals who challenge the status quo. The dominant literature paints a rather pessimistic picture about the ability of minorities to instigate change in the environmental domain: environmental activists, vegans, and other minority members often elicit social sanctions, thereby ironically reinforcing the majority's commitment to current, environmentally harmful norms. Recent findings, however, point towards more optimism: pro-environmental minorities can pave the way towards ‘tipping points’ and spontaneous social change. Policymakers can speed up this process by offering top-down support for minorities – by giving them ‘voice’. © 2021 The Author(s)","Minorities; Moral do-gooders; Pro-environmental behaviour; Social change; Social influence; Tipping points",,"Bolderdijk, J.W.; Department of Marketing, Nettelbosje 2, Netherlands; email: j.w.bolderdijk@rug.nl",,"Elsevier B.V.",2352250X,,,,"English","Curr. Opin. Psychol.",Review,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85102373895
"Koh L.P., Zeng Y., Sarira T.V., Siman K.","7004786474;55344338300;57217291359;57222126865;","Carbon prospecting in tropical forests for climate change mitigation",2021,"Nature Communications","12","1", 1271,"","",,,"10.1038/s41467-021-21560-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101550210&doi=10.1038%2fs41467-021-21560-2&partnerID=40&md5=bfa276d3ca5e040b0e686801fa38b377","Centre for Nature-based Climate Solutions, and Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, Singapore, 117543, Singapore; School of Biological Sciences, The University of Adelaide, Adelaide, SA  5005, Australia","Koh, L.P., Centre for Nature-based Climate Solutions, and Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, Singapore, 117543, Singapore; Zeng, Y., Centre for Nature-based Climate Solutions, and Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, Singapore, 117543, Singapore; Sarira, T.V., Centre for Nature-based Climate Solutions, and Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, Singapore, 117543, Singapore, School of Biological Sciences, The University of Adelaide, Adelaide, SA  5005, Australia; Siman, K., Centre for Nature-based Climate Solutions, and Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, Singapore, 117543, Singapore","Carbon finance projects that protect tropical forests could support both nature conservation and climate change mitigation goals. Global demand for nature-based carbon credits is outpacing their supply, due partly to gaps in knowledge needed to inform and prioritize investment decisions. Here, we show that at current carbon market prices the protection of tropical forests can generate investible carbon amounting to 1.8 (±1.1) GtCO2e yr−1 globally. We further show that financially viable carbon projects could generate return-on-investment amounting to $46.0b y−1 in net present value (Asia-Pacific: $24.6b y−1; Americas: $19.1b y−1; Africa: $2.4b y−1). However, we also find that ~80% (1.24 billion ha) of forest carbon sites would be financially unviable for failing to break even over the project lifetime. From a conservation perspective, unless carbon prices increase in the future, it is imperative to implement other conservation interventions, in addition to carbon finance, to safeguard carbon stocks and biodiversity in vulnerable forests. © 2021, The Author(s).",,"biodiversity; climate change; conservation status; nature conservation; pollution tax; tropical forest; Africa; Pacific Ocean; Pacific Rim; Matthiola","Koh, L.P.; Centre for Nature-based Climate Solutions, 14 Science Drive 4, Singapore; email: lianpinkoh@nus.edu.sg
Zeng, Y.; Centre for Nature-based Climate Solutions, 14 Science Drive 4, Singapore; email: zengyiwen@nus.edu.sg",,"Nature Research",20411723,,,"33627656","English","Nat. Commun.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85101550210
"West T.A.P., Salekin S., Melia N., Wakelin S.J., Yao R.T., Meason D.","55970453700;56664449200;56862288100;7005793487;37058097500;7801384122;","Diversification of forestry portfolios for climate change and market risk mitigation",2021,"Journal of Environmental Management","289",, 112482,"","",,,"10.1016/j.jenvman.2021.112482","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103643397&doi=10.1016%2fj.jenvman.2021.112482&partnerID=40&md5=401a2d5eba6ad4d0bc847557beb147dd","Scion—New Zealand Forest Research Institute, Rotorua, New Zealand; Environmental Geography Group, Institute for Environmental Studies (IVM), VU University Amsterdam, Amsterdam, Netherlands; Centre for Environment, Energy and Natural Resource Governance, University of Cambridge, Cambridge, United Kingdom; School of Geography, Environment and Earth Sciences, Victoria University of Wellington, Wellington, New Zealand","West, T.A.P., Scion—New Zealand Forest Research Institute, Rotorua, New Zealand, Environmental Geography Group, Institute for Environmental Studies (IVM), VU University Amsterdam, Amsterdam, Netherlands, Centre for Environment, Energy and Natural Resource Governance, University of Cambridge, Cambridge, United Kingdom; Salekin, S., Scion—New Zealand Forest Research Institute, Rotorua, New Zealand; Melia, N., School of Geography, Environment and Earth Sciences, Victoria University of Wellington, Wellington, New Zealand; Wakelin, S.J., Scion—New Zealand Forest Research Institute, Rotorua, New Zealand; Yao, R.T., Scion—New Zealand Forest Research Institute, Rotorua, New Zealand; Meason, D., Scion—New Zealand Forest Research Institute, Rotorua, New Zealand","Investments in forestry are long-term and thus subject to numerous sources of risk. In addition to the volatility from markets, forestry investments are directly exposed to future impacts from climate change. We examined how diversification of forest management regimes can mitigate the expected risks associated with forestry activities in New Zealand based on an application of Modern Portfolio Theory. Uncertainties in the responses of Pinus radiata (D. Don) productivity to climate change, from 2050 to 2090, were simulated with 3-PG, a process-based forest growth model, based on future climate scenarios and Representative Concentration Pathways (RCPs). Future timber market scenarios were based on RCP-specific projections from the Global Timber Model and historical log grade prices. Outputs from 3-PG and the market scenarios were combined to compute annualized forestry returns for four P. radiata regimes for 2050–2090. This information was then used to construct optimal forestry portfolios that minimize investment risk for a given target return under different RCPs, forest productivity and market scenarios. While current P. radiata regimes in New Zealand are largely homogenous, our results suggest that regime diversification can mitigate future risks imposed by climate change and market uncertainty. Nevertheless, optimal portfolio compositions varied substantially across our range of scenarios and portfolio objectives. The application of this framework can help forest managers to better account for future risks in their management decisions. © 2021 Elsevier Ltd","3-PG; Climate change adaptation; Forest management; Modern portfolio theory; Representative concentration pathway","climate change; forest management; forestry production; growth response; market conditions; pine; plantation forestry; risk assessment; article; climate change; forest management; human; investment; manager; New Zealand; nonhuman; pine; price; productivity; simulation; theoretical study; uncertainty; New Zealand; Pinus radiata; Radiata","West, T.A.P.; Scion—New Zealand Forest Research InstituteNew Zealand; email: thales.west@scionreseach.com",,"Academic Press",03014797,,JEVMA,"33813299","English","J. Environ. Manage.",Article,"Final","",Scopus,2-s2.0-85103643397
"Basupi I.","55602343700;","Implications of Climate Change Mitigation and Household Water Saving in Existing Water Networks: Upgrade Requirements and Hydraulic Perspectives",2021,"Journal of Infrastructure Systems","27","2", 04021009,"","",,,"10.1061/(ASCE)IS.1943-555X.0000608","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103308527&doi=10.1061%2f%28ASCE%29IS.1943-555X.0000608&partnerID=40&md5=e3e3e8d92bfbf71906b3470a00ba31e0","Climate Change Div., Botswana Institute for Technology Research and Innovation, Maranyane House, Private Bag 0082, Plot 50654, Machel Dr., Gaborone, Botswana","Basupi, I., Climate Change Div., Botswana Institute for Technology Research and Innovation, Maranyane House, Private Bag 0082, Plot 50654, Machel Dr., Gaborone, Botswana","Climate change and the ever-increasing water demands have led to the introduction of mitigation and adaptation interventions in water systems, which need to be understood. The effects of these countermeasures on the upgrade requirements and hydraulic performances of existing water distribution systems (WDSs) and sanitary sewers (SSs) are analyzed in this study. In addition to the common two-objective problems, a three-objective problem that provides cost-effective water-saving schemes (WSSs) that also reduce greenhouse gas (GHG) emissions have been proposed. In order to obtain and analyze solutions for all the aforementioned optimizations, the tasks of selecting WSSs considering different performances were formulated and solved as multiobjective optimization problems. The objectives considered are the minimization of the overall cost (i.e., less savings) versus minimization of water demand or maximization of network upgrade postponement introduced by WSS measures. Optimizing the GHG emissions and reductions to any of these two-objective problems completes a three-objective problem. The decision variables are the domestic water saving appliance and fitting capacities, and the tank sizes of the rainwater harvesting systems (RWHSs). The method provides Pareto fronts, which are the outputs from a nondominated sorting genetic algorithm. The proposed method was applied to the subsystems of the Tsholofelo WDS and sanitary sewer (SS) in Gaborone, Botswana. The results indicate that three-objective climate change counteractive WSSs are more desirable than two-objective WSSs. Solutions obtained considering WDS demand or the WDS only excluding the corresponding SS would undesirably impact the hydraulics and SS upgrade requirements and vice versa. © 2021 American Society of Civil Engineers.","Climate change mitigation; Optimization; Sanitary sewers (SSs); Water distribution systems (WDSs); Water saving schemes (WSSs); Water-saving","Cost effectiveness; Domestic appliances; Gas emissions; Genetic algorithms; Greenhouse gases; Multiobjective optimization; Sanitary sewers; Water conservation; Water distribution systems; Climate change mitigation; Decision variables; Fitting capacity; Hydraulic performance; Multi-objective optimization problem; Non-dominated sorting genetic algorithms; Rainwater harvesting system; Water distribution system (WDSs); Climate change; climate change; cost analysis; optimization; sanitation; sewer network; water demand; water management; water use efficiency","Basupi, I.; Climate Change Div., Private Bag 0082, Plot 50654, Machel Dr., Botswana; email: ibasupi@yahoo.co.uk",,"American Society of Civil Engineers (ASCE)",10760342,,,,"English","J. Infrastruct. Syst.",Article,"Final","",Scopus,2-s2.0-85103308527
"Azevedo I., Leal V.","7006492454;6603496558;","A new model for ex-post quantification of the effects of local actions for climate change mitigation",2021,"Renewable and Sustainable Energy Reviews","143",, 110890,"","",,,"10.1016/j.rser.2021.110890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103287888&doi=10.1016%2fj.rser.2021.110890&partnerID=40&md5=3d492788aac6f94a039025a0068f47a2","University of Porto, Faculty of Engineering (FEUP), Department of Mechanical Engineering, Rua Dr. Roberto Frias, Porto, 4200-465, Portugal; Institute of Science and Innovation in Mechanical Engineering and Management Engineering (INEGI), Rua Dr. Roberto Frias, 400, Porto, 4200-465, Portugal","Azevedo, I., University of Porto, Faculty of Engineering (FEUP), Department of Mechanical Engineering, Rua Dr. Roberto Frias, Porto, 4200-465, Portugal, Institute of Science and Innovation in Mechanical Engineering and Management Engineering (INEGI), Rua Dr. Roberto Frias, 400, Porto, 4200-465, Portugal; Leal, V., University of Porto, Faculty of Engineering (FEUP), Department of Mechanical Engineering, Rua Dr. Roberto Frias, Porto, 4200-465, Portugal, Institute of Science and Innovation in Mechanical Engineering and Management Engineering (INEGI), Rua Dr. Roberto Frias, 400, Porto, 4200-465, Portugal","The evaluation of the effects of local actions for climate change mitigation is essential for the assessment and design of effective policies, as well as for the adequate diffusion of good practices. However, existing methodologies based on the comparison of the total energy use and/or accountable greenhouse gas emissions of two different years do not lead to an isolated quantification of the effects of local policy actions. This happens because many causes of change in the local energy use and accountable emissions are not designed and/or controlled by the local authorities, namely economic dynamics, and national policies. This paper proposes a new model for disaggregating the total observed changes into a number of sources of change, thus enabling an estimated quantification of the effects originating from local policies alone. The applicability of the model is demonstrated by a concrete case study, the municipality of Porto in Portugal. © 2021","Climate change mitigation; Energy planning; Local actions; Municipal action plans; Policy evaluation","Climate models; Gas emissions; Greenhouse gases; Petroleum reservoir evaluation; Climate change mitigation; Energy planning; Energy use; Good practices; Greenhouse gas emissions; Local action; Local policies; Municipal action plan; Policy evaluation; Total energy; Climate change","Azevedo, I.; University of Porto, Rua Dr. Roberto Frias, Portugal; email: iazevedo@inegi.up.pt",,"Elsevier Ltd",13640321,,RSERF,,"English","Renewable Sustainable Energy Rev",Article,"Final","",Scopus,2-s2.0-85103287888
"Raparthi K.","56974428600;","Assessing the Relationship between Urban Planning Policies, Gender, and Climate Change Mitigation: Regression Model Evaluation of Indian Cities",2021,"Journal of Urban Planning and Development","147","2", 05021007,"","",,,"10.1061/(ASCE)UP.1943-5444.0000677","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101401830&doi=10.1061%2f%28ASCE%29UP.1943-5444.0000677&partnerID=40&md5=d30452ff8de63cce35e3c09dfa62c2e3","School of Architecture and Planning, Anna Univ., Chennai, 600025, India","Raparthi, K., School of Architecture and Planning, Anna Univ., Chennai, 600025, India","The greatest challenge that the human society is facing in the 21st century is climate change. Climate change debates advocate that although urban areas largely contribute to climate change they also play an important role in addressing it. This research puts forth an effort to identify whether statistically significant relationships exist between carbon dioxide (CO2) emissions and urban planning policies, as well as between CO2 emissions and gender. In this regard, this research investigates whether urban planning policies in master plans have an impact on local CO2 emission levels. As a first step, a qualitative content analysis of the policy framework of sampled master plans that were involved in the sample was undertaken and climate change mitigation indexes were developed by assessing the sampled master plan's urban policies against climate change mitigation evaluation protocols. Later, using climate change mitigation, the impact of urban planning policies on local CO2 emissions, while controlling for socioeconomic characteristics, was examined by undertaking regression analysis. This research develops empirical evidences that analyze the impact of urban planning policies on CO2 emission levels, thereby contributing significantly to the urban planning and public policy field. This research highlights that master plans are effective tools in promoting low-carbon regions through urban planning thereby mitigating climate change. This research emphasizes urban planning as a policy tool for mitigating climate change and has an implication for mainstreaming climate change mitigation in local urban planning. © 2021 American Society of Civil Engineers.","Carbon dioxide emissions; Climate change mitigation; Gender; Urban planning policies","Carbon dioxide; Climate models; Regression analysis; Urban planning; Carbon dioxide emissions; Climate change mitigation; Content analysis; Evaluation protocol; Planning policies; Policy framework; Regression model; Socioeconomic characteristics; Climate change; carbon dioxide; carbon emission; climate change; gender relations; regression analysis; urban planning; urban policy; India","Raparthi, K.; School of Architecture and Planning, India; email: kiranmayiar@gmail.com",,"American Society of Civil Engineers (ASCE)",07339488,,,,"English","J. Urban Plann. Dev.",Article,"Final","",Scopus,2-s2.0-85101401830
"Simmons A.T., Cowie A.L., Waters C.M.","13805671700;8258491400;8720819200;","Pyrolysis of invasive woody vegetation for energy and biochar has climate change mitigation potential",2021,"Science of the Total Environment","770",, 145278,"","",,,"10.1016/j.scitotenv.2021.145278","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101053008&doi=10.1016%2fj.scitotenv.2021.145278&partnerID=40&md5=8e64534972d2e9b6c7dab507e7446322","New South Wales Department of Primary Industries, 98 Victoria St, 2430, Taree, NSW, Australia; New South Wales Department of Primary Industries, Livestock Industry Centre, Trevenna Rd, 2351, Armidale, NSW, Australia; School of Environmental and Rural Science, University of New England, 2531, Armidale, NSW, Australia; New South Wales Department of Primary Industries, 4 Hampden Street, 2830, Dubbo, NSW, Australia","Simmons, A.T., New South Wales Department of Primary Industries, 98 Victoria St, 2430, Taree, NSW, Australia; Cowie, A.L., New South Wales Department of Primary Industries, Livestock Industry Centre, Trevenna Rd, 2351, Armidale, NSW, Australia, School of Environmental and Rural Science, University of New England, 2531, Armidale, NSW, Australia; Waters, C.M., New South Wales Department of Primary Industries, 4 Hampden Street, 2830, Dubbo, NSW, Australia","Woody plant encroachment in agricultural areas reduces agricultural production and is a recognised land degradation problem of global significance. Invasive native scrub (INS) is woody vegetation that invades southern Australian rangelands and is commonly cleared to return land to agricultural production. Clearing of INS emits carbon to the atmosphere, and the retention of INS by landholders for the purpose of avoiding carbon emissions has been incentivized in Australia as an emission reduction strategy. Retaining INS, however, means land remains relatively unproductive because INS negatively impacts livestock production. This desktop study examined whether clearing INS to return an area to production, and pyrolysing residues to produce biochar, has the potential to provide climate change mitigation (the “pyrolysis scenario”). The syngas produced via pyrolysis was assumed to be used to generate electricity that was fed into the electricity grid and avoided the production of electricity from existing sources. In addition, the biochar was assumed to be applied to soils used for wheat production, giving mitigation benefits from reduced N2O emissions from fertiliser use and reduction in the use of lime to ameliorate soil acidity. Relative to clearing INS and burning residues in-situ, the pyrolysis scenario resulted in a reduction in radiative forcing of 1.28 × 10−4 W m2 ha−1 of INS managed, 25 years after clearing, and was greater than the reduction of 1.06 × 10−4 W m2 ha−1 that occurred when INS was retained. The greatest contribution to the climate change mitigation provided by the pyrolysis scenario came from avoided emissions from grid electricity production, while avoided N2O and lime emissions made a relatively minor contribution towards mitigation. © 2021 Elsevier B.V.","Biochar; emissions reductions; indirect land use change; woody plant encroachment","Agricultural robots; Agriculture; Atmospheric radiation; Carbon; Electric power generation; Electric power transmission networks; Emission control; Lime; Pyrolysis; Synthesis gas manufacture; Vegetation; Agricultural areas; Agricultural productions; Climate change mitigation; Emission reduction strategy; Generate electricity; Livestock production; Radiative forcings; Woody-plant encroachments; Climate change; biochar; carbon emission; climate change; invasive species; pyrolysis; soil remediation; woody plant; biochar; charcoal; nitrous oxide; agriculture; Australia; climate change; pyrolysis; soil; Agriculture; Australia; Charcoal; Climate Change; Nitrous Oxide; Pyrolysis; Soil","Simmons, A.T.; New South Wales Department of Primary Industries, 98 Victoria St, 2430, Australia; email: aaron.simmons@dpi.nsw.gov.au",,"Elsevier B.V.",00489697,,STEVA,"33736413","English","Sci. Total Environ.",Article,"Final","",Scopus,2-s2.0-85101053008
"Rosen R.A.","7202895179;","Why the shared socioeconomic pathway framework has not been useful for improving climate change mitigation policy analysis",2021,"Technological Forecasting and Social Change","166",, 120611,"","",,,"10.1016/j.techfore.2021.120611","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099937143&doi=10.1016%2fj.techfore.2021.120611&partnerID=40&md5=c940d49860f2bfa28e5fb237c040c522","Tellus Institute (retired), 20 Marshal St., Brookline, MA  02446, United States","Rosen, R.A., Tellus Institute (retired), 20 Marshal St., Brookline, MA  02446, United States","Numerous ways to improve the usefulness of climate change mitigation scenarios that rely on the Shared Socioeconomic Pathway (SSP) framework that was developed over the last 10 years have been suggested. The problem with these proposals is that the diagnosis of what has led to the inability of integrated assessment modelers to properly analyze mitigation policies is wrong. The first main problem with the past use of the SSP-based mitigation scenarios is that few input variables for what is supposed to be the same SSP are given the same numerical values by different modeling teams. The more significant problem with the way in SSP-based mitigation scenarios have been used to analyze mitigation policies is that the different integrated assessment models (IAMs) have very different structures and functions. Thus, even if all the input variables comprising a single SSP had the same numerical values, the scenario results from running such a SSP through different IAMs would be quite different, leading to different understandings of the usefulness of different mitigation policies. This situation can be avoided by developing just two or three more detailed and improved IAMs focused on the critical next 10–20 years for mitigating climate change. © 2021 Elsevier Inc.","Climate change mitigation; Economics of mitigation; Integrated assessment models; Mitigation scenarios; Shared Socioeconomic Pathways","Technological forecasting; Climate change mitigation; Different structure; Input variables; Integrated assessment; Integrated assessment models; Mitigation policies; Modeling team; Numerical values; Climate change; climate change; environmental policy; integrated approach; mitigation; numerical model; policy analysis; socioeconomic impact",,,"Elsevier Inc.",00401625,,,,"English","Technol. Forecast. Soc. Change",Article,"Final","",Scopus,2-s2.0-85099937143
"Gouvêa L.P., Assis J., Gurgel C.F.D., Serrão E.A., Silveira T.C.L., Santos R., Duarte C.M., Peres L.M.C., Carvalho V.F., Batista M., Bastos E., Sissini M.N., Horta P.A.","55500349800;53463298700;6602765434;7004093604;6701572297;7201375018;55636631300;57203555863;57194076165;54987316200;42261166800;57196350819;24171027200;","Corrigendum to “Golden carbon of Sargassum forests revealed as an opportunity for climate change mitigation” [Sci. Total Environ., 729 (2020) Start page – End page/ 138745] (Science of the Total Environment (2020) 729, (S0048969720322622), (10.1016/j.scitotenv.2020.138745))",2021,"Science of the Total Environment","765",, 144696,"","",,,"10.1016/j.scitotenv.2020.144696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100577289&doi=10.1016%2fj.scitotenv.2020.144696&partnerID=40&md5=10c8aaf183fe84175802de97e4c9cf6d","Phycology Laboratory, Department of Botany, Biological Sciences Center, Federal University of Santa Catarina, Florianopolis, Santa Catarina, Brazil; CCMAR - Centre of Marine Sciences, University of Algarve, Faro, Portugal; Department of Ecology and Zoology, Biological Sciences Center, Federal University of Santa Catarina, Trindade, Florianopolis, Santa Catarina, Brazil; Red Sea Research Center (RSRC), Computational Bioscience Research Center (CBRC), King Abdullah University of Science and Technology, Thuwal, Saudi Arabia","Gouvêa, L.P., Phycology Laboratory, Department of Botany, Biological Sciences Center, Federal University of Santa Catarina, Florianopolis, Santa Catarina, Brazil; Assis, J., CCMAR - Centre of Marine Sciences, University of Algarve, Faro, Portugal; Gurgel, C.F.D., Phycology Laboratory, Department of Botany, Biological Sciences Center, Federal University of Santa Catarina, Florianopolis, Santa Catarina, Brazil; Serrão, E.A., CCMAR - Centre of Marine Sciences, University of Algarve, Faro, Portugal; Silveira, T.C.L., Department of Ecology and Zoology, Biological Sciences Center, Federal University of Santa Catarina, Trindade, Florianopolis, Santa Catarina, Brazil; Santos, R., CCMAR - Centre of Marine Sciences, University of Algarve, Faro, Portugal; Duarte, C.M., Red Sea Research Center (RSRC), Computational Bioscience Research Center (CBRC), King Abdullah University of Science and Technology, Thuwal, Saudi Arabia; Peres, L.M.C., Phycology Laboratory, Department of Botany, Biological Sciences Center, Federal University of Santa Catarina, Florianopolis, Santa Catarina, Brazil; Carvalho, V.F., Phycology Laboratory, Department of Botany, Biological Sciences Center, Federal University of Santa Catarina, Florianopolis, Santa Catarina, Brazil; Batista, M., Phycology Laboratory, Department of Botany, Biological Sciences Center, Federal University of Santa Catarina, Florianopolis, Santa Catarina, Brazil; Bastos, E., Phycology Laboratory, Department of Botany, Biological Sciences Center, Federal University of Santa Catarina, Florianopolis, Santa Catarina, Brazil; Sissini, M.N., Phycology Laboratory, Department of Botany, Biological Sciences Center, Federal University of Santa Catarina, Florianopolis, Santa Catarina, Brazil; Horta, P.A., Phycology Laboratory, Department of Botany, Biological Sciences Center, Federal University of Santa Catarina, Florianopolis, Santa Catarina, Brazil","The authors regret that the printed version of the above article contained errors. These errors in no way affect the analyses performed in this manuscript, the reported results, or the draw conclusions. The authors would like to apologise for any inconvenience caused. The requested change does not affect the measures, because all estimation was based on raw values, without conversion to Gg km−2. The correct and final version follows. Page 3: The final value was obtained according to the equation below: Carbon stock in above−ground biomass (Gg km−2): % C X AGB X area (obtained in the Boosted Regression Trees−BRT Model) Changes to: Carbon stock in above−ground biomass (Pg C): % C (dry weight) X AGB (dry weight) X area (obtained in the Boosted Regression Trees−BRT Model) * Biomass dry weight corresponds to 10% of wet weight. Page 4, first paragraph of Results: “…and a potential standing stock 82.58 Gg km−2 of floating Sargassum in the Atlantic Ocean. At the global scale, models estimated 305.95 and 139.59·104 km2 of floating and benthic Sargassum, respectively (445.54·104km2 in total), and overall biomass of 84.05 Gg km−2, which corresponds to 13.1 Pg C globally (Fig. 1b)”. Changes to: “…and a potential standing stock 8.25 Gg km−2 of floating Sargassum in the Atlantic Ocean. At the global scale, models estimated 305.95 and 139.59·104 km2 of floating and benthic Sargassum, respectively (445.54·104km2 in total), and overall biomass of 8.40 Gg km−2, which corresponds to 13.1 Pg C globally (Fig. 1b)”. Page 4, first paragraph of Discussion: “These floating Sargassum estimates are increased up to 25.2·103 Gg when considering the potential global distribution of the genus (Fig. 1b)”. Changes to: “These floating Sargassum estimates are increased up to 25,241·103 Gg when considering the potential global distribution of the genus (Fig. 1b)”. Changes in Fig. 1b: Fig. 1b Corrections of values in Above ground biomass of 82.58 Gg km−2, 1.47 Gg km−2 and 84.05 Gg km−2. Also, the values of mangrove, salt marsh and seagrasses were converted to Gg km−2. Changes to: 8.25 Gg km−2, 0.14 Gg km−2 and 8.40 Gg km−2. [Figure presented] We include a reference in the Fig. 1 legend: Castillo, J. M., Rubio-Casal, A. E., Figueroa, E. 2010. Cordgrass biomass in coastal marshes. Biomass, 1–26. Table S4 (Supplementary material): Note: The table S4 includes biomass data (wet weight) at peak events (Sissini et al., 2017 and this study) Correction of value: 14000 g.m-2 instead of 140000 g.m-2 We included three references in Table S4: Stoner, A. W. 1983. Pelagic Sargassum: Evidence for a major decrease in biomass. Deep Sea Research Part A. Oceanographic Research Papers, 30(4), 469-474. Butler, J. N., Morris, B. F., Sass, J. 1973. Pelagic Tar from Bermuda and the Sargasso Sea (No. BBS-10). Bermuda Biological Station for Research St George's West. Schell, J. M., Goodwin, D. S., Siuda, A. N. 2015. Recent Sargassum inundation events in the Caribbean: shipboard observations reveal dominance of a previously rare form. Oceanography, 28(3), 8-11. © 2020 Elsevier B.V.",,"erratum; Matthiola; Sargassum; Spartina","Gouvêa, L.P.; Phycology Laboratory, Brazil; email: lidi_pel@hotmail.com",,"Elsevier B.V.",00489697,,STEVA,"33518296","English","Sci. Total Environ.",Erratum,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85100577289
